id,severity,confidence,area,file,line,title,why_it_matters,suggested_fix,source
SM-AUD-0001,P0,confirmed,packaging,semantic-memory-generic-rust-next-codex-context-20260511.report.md,1,Archive is not hermetic despite passing certifier,Cargo metadata succeeded from parent /Coding/Libraries workspace with 326 packages/30 workspace members while the archive has zero workspace manifests. A clean extractor may fail or resolve differently.,"Add an archive-root Cargo.toml workspace, or remove workspace-only dependency/lint reliance; validate from fresh extraction.",manual
SM-AUD-0002,P0,confirmed,packaging,semantic-memory/Cargo.toml,1,No packaged root workspace manifest for included local crates,"The zip includes semantic-memory plus three path roots, but no top-level workspace manifest tying them together.","Generate a root Cargo.toml with members semantic-memory, stack-ids, semantic-memory-forge, forge-memory-bridge.",manual
SM-AUD-0003,P0,confirmed,packaging,semantic-memory/Cargo.lock,1,Multiple Cargo.lock files create ambiguous dependency source of truth,"Each included package has its own lockfile; without a packaged root workspace, dependency resolution can differ between crates.",Use one workspace lockfile at archive root for review builds or document crate-by-crate build commands.,manual
SM-AUD-0004,P0,confirmed,embedding,semantic-memory/src/documents.rs,324,Document ingest silently truncates chunks on embedder batch-count mismatch,"text_chunks.iter().zip(embeddings.iter()) drops chunks if the embedder returns fewer vectors, and ignores extra vectors.",Centralize embed_batch validation: returned len must equal requested len before any write.,manual
SM-AUD-0005,P0,confirmed,embedding,semantic-memory/src/lib.rs,1254,Fact re-embedding silently truncates on batch-count mismatch,Batch rows are zipped with embeddings; fewer embeddings still increments fact_count by batch.len().,Fail loudly on batch-count mismatch before constructing updates.,manual
SM-AUD-0006,P0,confirmed,embedding,semantic-memory/src/lib.rs,1314,Chunk re-embedding silently truncates on batch-count mismatch,Batch rows are zipped with embeddings; missing embeddings leave stale rows while progress counters report success.,Fail loudly on batch-count mismatch before update transaction.,manual
SM-AUD-0007,P0,confirmed,embedding,semantic-memory/src/lib.rs,1374,Message re-embedding silently truncates on batch-count mismatch,Batch rows are zipped with embeddings; message embeddings can be partially refreshed without being reported.,Fail loudly on batch-count mismatch before update transaction.,manual
SM-AUD-0008,P0,confirmed,embedding,semantic-memory/src/lib.rs,1434,Episode re-embedding silently truncates on batch-count mismatch,Batch rows are zipped with embeddings; missing episode embeddings can leave stale recall state.,Fail loudly on batch-count mismatch before update transaction.,manual
SM-AUD-0009,P0,confirmed,embedding,semantic-memory/src/lib.rs,536,Public embedding validation is dimension-only,"validate_embedding_dimensions checks length but not NaN/Inf, while HNSW later rejects non-finite values; SQLite can still store bad f32 blobs.",Replace with validate_embedding that checks dimensions and all components finite.,manual
SM-AUD-0010,P0,confirmed,delete/integrity,semantic-memory/src/documents.rs,109,delete_document does not explicitly clean episode derived state,"Document deletion removes chunks/docs but not episode_causes, episodes_fts, episodes_rowid_map, or episode HNSW ops before cascade/cleanup boundaries.",Collect episode_ids first and delete all episode derived surfaces plus queued HNSW deletes in one transaction.,manual
